Id,Hrapx,Hrapy,Lat,Lon,Globvalue
82538,600,62,26.2812,-97.6116,0.03
82539,601,62,26.2770,-97.5750,0.08
84113,599,63,26.3183,-97.6435,0.03
84114,600,63,26.3141,-97.6068,0.30
84115,601,63,26.3098,-97.5702,0.10
85688,598,64,26.3554,-97.6754,0.01
85689,599,64,26.3512,-97.6387,0.04
85690,600,64,26.3469,-97.6021,0.08
85691,601,64,26.3427,-97.5654,0.09
90430,612,67,26.3927,-97.1473,0.01
92006,612,68,26.4256,-97.1423,0.01
175945,1023,121,24.5187,-82.1811,0.01
177518,1020,122,24.5864,-82.2660,0.01
179093,1019,123,24.6289,-82.2852,0.01
179094,1020,123,24.6163,-82.2522,0.01
179095,1021,123,24.6038,-82.2192,0.01
180669,1019,124,24.6589,-82.2714,0.02
180670,1020,124,24.6463,-82.2384,0.01
196445,1035,134,24.7544,-81.6037,0.01
198021,1035,135,24.7842,-81.5894,0.02
198022,1036,135,24.7713,-81.5565,0.02
199597,1035,136,24.8141,-81.5752,0.02
199598,1036,136,24.8012,-81.5422,0.02
201173,1035,137,24.8440,-81.5609,0.02
201175,1037,137,24.8181,-81.4950,0.02
202749,1035,138,24.8740,-81.5466,0.02
204326,1036,139,24.8909,-81.4993,0.02
215364,1042,146,25.0216,-81.2004,0.02
215365,1043,146,25.0084,-81.1674,0.02
227979,1049,154,25.1676,-80.8522,0.04
229555,1049,155,25.1974,-80.8374,0.05
229556,1050,155,25.1840,-80.8044,0.05
229557,1051,155,25.1706,-80.7714,0.04
229562,1056,155,25.1033,-80.6068,0.04
231129,1047,156,25.2540,-80.8886,0.04
231130,1048,156,25.2407,-80.8556,0.04
231131,1049,156,25.2273,-80.8226,0.05
231132,1050,156,25.2139,-80.7896,0.07
231133,1051,156,25.2004,-80.7566,0.07
231134,1052,156,25.1870,-80.7236,0.04
231138,1056,156,25.1330,-80.5919,0.04
231139,1057,156,25.1195,-80.5590,0.07
231140,1058,156,25.1060,-80.5262,0.04
231141,1059,156,25.0924,-80.4933,0.06
231142,1060,156,25.0789,-80.4605,0.06
231143,1061,156,25.0653,-80.4277,0.06
231144,1062,156,25.0517,-80.3949,0.06
231145,1063,156,25.0381,-80.3621,0.06
232705,1047,157,25.2839,-80.8738,0.03
232706,1048,157,25.2705,-80.8408,0.04
232707,1049,157,25.2571,-80.8077,0.05
232708,1050,157,25.2437,-80.7747,0.07
232709,1051,157,25.2303,-80.7417,0.09
232710,1052,157,25.2168,-80.7087,0.08
232711,1053,157,25.2033,-80.6758,0.04
232714,1056,157,25.1628,-80.5770,0.04
232715,1057,157,25.1493,-80.5441,0.08
232716,1058,157,25.1357,-80.5112,0.16
232717,1059,157,25.1222,-80.4783,0.12
232718,1060,157,25.1086,-80.4455,0.07
232719,1061,157,25.0950,-80.4127,0.11
232720,1062,157,25.0814,-80.3799,0.11
232721,1063,157,25.0678,-80.3471,0.07
232722,1064,157,25.0541,-80.3143,0.06
234283,1049,158,25.2870,-80.7929,0.04
234284,1050,158,25.2736,-80.7599,0.05
234285,1051,158,25.2601,-80.7269,0.08
234286,1052,158,25.2466,-80.6939,0.11
234287,1053,158,25.2332,-80.6609,0.08
234288,1054,158,25.2197,-80.6279,0.04
234290,1056,158,25.1926,-80.5620,0.04
234291,1057,158,25.1791,-80.5291,0.13
234292,1058,158,25.1655,-80.4962,0.18
234293,1059,158,25.1519,-80.4633,0.22
234294,1060,158,25.1383,-80.4305,0.16
234295,1061,158,25.1247,-80.3976,0.16
234296,1062,158,25.1111,-80.3648,0.16
234297,1063,158,25.0975,-80.3320,0.16
234298,1064,158,25.0838,-80.2992,0.14
235859,1049,159,25.3169,-80.7780,0.04
235860,1050,159,25.3034,-80.7450,0.04
235861,1051,159,25.2900,-80.7120,0.06
235862,1052,159,25.2765,-80.6789,0.09
235863,1053,159,25.2630,-80.6459,0.12
235864,1054,159,25.2495,-80.6130,0.07
235865,1055,159,25.2359,-80.5800,0.04
235867,1057,159,25.2089,-80.5141,0.11
235868,1058,159,25.1953,-80.4812,0.18
235869,1059,159,25.1817,-80.4483,0.27
235870,1060,159,25.1681,-80.4155,0.30
235871,1061,159,25.1545,-80.3826,0.28
235872,1062,159,25.1408,-80.3498,0.24
235873,1063,159,25.1272,-80.3169,0.26
235874,1064,159,25.1135,-80.2841,0.25
237437,1051,160,25.3198,-80.6970,0.04
237438,1052,160,25.3063,-80.6640,0.06
237439,1053,160,25.2928,-80.6310,0.08
237440,1054,160,25.2793,-80.5980,0.08
237441,1055,160,25.2658,-80.5650,0.04
237443,1057,160,25.2386,-80.4991,0.05
237444,1058,160,25.2251,-80.4662,0.13
237445,1059,160,25.2115,-80.4333,0.21
237446,1060,160,25.1978,-80.4004,0.39
237447,1061,160,25.1842,-80.3675,0.71
237448,1062,160,25.1706,-80.3347,0.40
237449,1063,160,25.1569,-80.3018,0.20
237450,1064,160,25.1432,-80.2690,0.22
239014,1052,161,25.3362,-80.6491,0.04
239015,1053,161,25.3227,-80.6161,0.06
239016,1054,161,25.3091,-80.5830,0.09
239017,1055,161,25.2956,-80.5500,0.07
239019,1057,161,25.2684,-80.4841,0.05
239020,1058,161,25.2548,-80.4512,0.07
239021,1059,161,25.2412,-80.4183,0.14
239022,1060,161,25.2276,-80.3853,0.22
239023,1061,161,25.2140,-80.3525,0.37
239024,1062,161,25.2003,-80.3196,0.58
239025,1063,161,25.1866,-80.2867,0.35
239026,1064,161,25.1729,-80.2539,0.16
240590,1052,162,25.3660,-80.6341,0.04
240591,1053,162,25.3525,-80.6011,0.04
240592,1054,162,25.3390,-80.5680,0.05
240593,1055,162,25.3254,-80.5350,0.07
240594,1056,162,25.3118,-80.5021,0.05
240595,1057,162,25.2982,-80.4691,0.04
240596,1058,162,25.2846,-80.4361,0.06
240597,1059,162,25.2710,-80.4032,0.07
240598,1060,162,25.2574,-80.3703,0.14
240599,1061,162,25.2437,-80.3374,0.21
240600,1062,162,25.2300,-80.3045,0.33
240601,1063,162,25.2164,-80.2716,0.51
240602,1064,162,25.2027,-80.2388,0.37
242168,1054,163,25.3688,-80.5530,0.04
242169,1055,163,25.3552,-80.5200,0.04
242170,1056,163,25.3416,-80.4870,0.05
242171,1057,163,25.3280,-80.4540,0.04
242172,1058,163,25.3144,-80.4211,0.05
242173,1059,163,25.3008,-80.3881,0.06
242174,1060,163,25.2871,-80.3552,0.11
242175,1061,163,25.2735,-80.3222,0.14
242176,1062,163,25.2598,-80.2893,0.19
242177,1063,163,25.2461,-80.2565,0.31
242178,1064,163,25.2324,-80.2236,0.42
243745,1055,164,25.3851,-80.5050,0.00
243746,1056,164,25.3715,-80.4720,0.00
243747,1057,164,25.3578,-80.4390,0.05
243748,1058,164,25.3442,-80.4060,0.00
243749,1059,164,25.3306,-80.3730,0.04
243750,1060,164,25.3169,-80.3401,0.04
243751,1061,164,25.3032,-80.3071,0.06
243752,1062,164,25.2895,-80.2742,0.12
243753,1063,164,25.2758,-80.2413,0.19
243754,1064,164,25.2621,-80.2084,0.30
245321,1055,165,25.4149,-80.4899,0.00
245322,1056,165,25.4013,-80.4569,0.00
245323,1057,165,25.3877,-80.4239,0.00
245324,1058,165,25.3740,-80.3909,0.00
245325,1059,165,25.3604,-80.3579,0.00
245326,1060,165,25.3467,-80.3249,0.00
245327,1061,165,25.3330,-80.2920,0.00
245329,1063,165,25.3056,-80.2261,0.11
245330,1064,165,25.2918,-80.1932,0.28
246897,1055,166,25.4448,-80.4748,0.00
246898,1056,166,25.4311,-80.4418,0.00
246899,1057,166,25.4175,-80.4088,0.00
246900,1058,166,25.4038,-80.3757,0.00
246901,1059,166,25.3902,-80.3427,0.00
246902,1060,166,25.3765,-80.3098,0.00
246903,1061,166,25.3628,-80.2768,0.00
246904,1062,166,25.3491,-80.2439,0.00
246906,1064,166,25.3216,-80.1780,0.11
248473,1055,167,25.4746,-80.4598,0.00
248474,1056,167,25.4610,-80.4267,0.00
248475,1057,167,25.4473,-80.3936,0.00
248476,1058,167,25.4337,-80.3606,0.00
248477,1059,167,25.4200,-80.3276,0.00
248478,1060,167,25.4063,-80.2946,0.03
248479,1061,167,25.3926,-80.2616,0.00
248480,1062,167,25.3788,-80.2287,0.00
250047,1053,168,25.5317,-80.5109,0.00
250048,1054,168,25.5181,-80.4777,0.00
250050,1056,168,25.4908,-80.4116,0.00
250051,1057,168,25.4772,-80.3785,0.01
250052,1058,168,25.4635,-80.3455,0.01
250053,1059,168,25.4498,-80.3124,0.01
250054,1060,168,25.4361,-80.2794,0.04
250055,1061,168,25.4223,-80.2464,0.04
250056,1062,168,25.4086,-80.2134,0.00
251622,1052,169,25.5753,-80.5289,0.00
251623,1053,169,25.5616,-80.4958,0.00
251624,1054,169,25.5480,-80.4626,0.00
251625,1055,169,25.5343,-80.4295,0.01
251626,1056,169,25.5207,-80.3964,0.00
251627,1057,169,25.5070,-80.3633,0.01
251628,1058,169,25.4933,-80.3303,0.05
251629,1059,169,25.4796,-80.2972,0.01
251630,1060,169,25.4659,-80.2642,0.04
251631,1061,169,25.4521,-80.2312,0.06
251632,1062,169,25.4384,-80.1982,0.00
253199,1053,170,25.5915,-80.4806,0.00
253200,1054,170,25.5779,-80.4475,0.00
253201,1055,170,25.5642,-80.4144,0.00
253202,1056,170,25.5505,-80.3813,0.00
253204,1058,170,25.5231,-80.3151,0.01
253205,1059,170,25.5094,-80.2820,0.01
253206,1060,170,25.4957,-80.2490,0.00
253207,1061,170,25.4819,-80.2160,0.04
253208,1062,170,25.4682,-80.1830,0.04
254751,1029,171,25.9446,-81.2666,0.00
254752,1030,171,25.9313,-81.2330,0.00
254753,1031,171,25.9180,-81.1995,0.00
254754,1032,171,25.9047,-81.1659,0.00
254776,1054,171,25.6078,-80.4324,0.00
254777,1055,171,25.5941,-80.3992,0.00
254778,1056,171,25.5804,-80.3661,0.00
254780,1058,171,25.5530,-80.2999,0.00
254781,1059,171,25.5393,-80.2668,0.00
254782,1060,171,25.5255,-80.2338,0.00
254783,1061,171,25.5117,-80.2007,0.00
254784,1062,171,25.4980,-80.1677,0.00
256297,999,172,26.3664,-82.2677,0.02
256298,1000,172,26.3536,-82.2336,0.02
256299,1001,172,26.3407,-82.1995,0.02
256326,1028,172,25.9881,-81.2855,0.00
256327,1029,172,25.9748,-81.2518,0.00
256328,1030,172,25.9615,-81.2183,0.00
256329,1031,172,25.9482,-81.1847,0.00
256330,1032,172,25.9349,-81.1511,0.00
256331,1033,172,25.9216,-81.1176,0.00
256356,1058,172,25.5828,-80.2847,0.00
256357,1059,172,25.5691,-80.2516,0.00
256358,1060,172,25.5553,-80.2185,0.00
256359,1061,172,25.5415,-80.1854,0.00
256362,1064,172,25.5001,-80.0864,0.04
257874,1000,173,26.3841,-82.2193,0.02
257875,1001,173,26.3713,-82.1852,0.02
257902,1028,173,26.0184,-81.2707,0.00
257903,1029,173,26.0051,-81.2371,0.00
257904,1030,173,25.9917,-81.2034,0.00
257905,1031,173,25.9784,-81.1699,0.00
257906,1032,173,25.9651,-81.1363,0.00
257907,1033,173,25.9517,-81.1027,0.00
257908,1034,173,25.9383,-81.0692,0.00
257911,1037,173,25.8981,-80.9687,0.00
257912,1038,173,25.8847,-80.9352,0.00
257913,1039,173,25.8712,-80.9017,0.00
257914,1040,173,25.8578,-80.8683,0.00
257915,1041,173,25.8443,-80.8349,0.00
257925,1051,173,25.7086,-80.5016,0.00
257926,1052,173,25.6949,-80.4684,0.00
257927,1053,173,25.6813,-80.4352,0.00
257931,1057,173,25.6264,-80.3025,0.00
257932,1058,173,25.6127,-80.2694,0.00
257933,1059,173,25.5989,-80.2363,0.00
257934,1060,173,25.5852,-80.2032,0.00
259476,1026,174,26.0752,-81.3232,0.00
259477,1027,174,26.0619,-81.2896,0.00
259478,1028,174,26.0486,-81.2559,0.00
259479,1029,174,26.0353,-81.2222,0.00
259480,1030,174,26.0220,-81.1886,0.01
259481,1031,174,26.0086,-81.1550,0.01
259482,1032,174,25.9953,-81.1214,0.00
259483,1033,174,25.9819,-81.0878,0.00
259484,1034,174,25.9685,-81.0543,0.00
259486,1036,174,25.9417,-80.9872,0.00
259487,1037,174,25.9282,-80.9537,0.00
259488,1038,174,25.9148,-80.9202,0.00
259489,1039,174,25.9013,-80.8868,0.00
259490,1040,174,25.8878,-80.8533,0.00
259491,1041,174,25.8744,-80.8199,0.00
259492,1042,174,25.8608,-80.7865,0.00
259501,1051,174,25.7385,-80.4865,0.00
259502,1052,174,25.7249,-80.4532,0.00
259503,1053,174,25.7112,-80.4200,0.00
259504,1054,174,25.6975,-80.3868,0.00
261052,1026,175,26.1054,-81.3085,0.00
261053,1027,175,26.0921,-81.2748,0.00
261054,1028,175,26.0788,-81.2411,0.00
261055,1029,175,26.0655,-81.2074,0.01
261056,1030,175,26.0522,-81.1738,0.03
261057,1031,175,26.0388,-81.1401,0.01
261058,1032,175,26.0254,-81.1065,0.00
